,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1.01,1.0201,1.0303,1.0406,1.051,1.0615,1.0721,1.0829,1.0937,1.1046,1.1157,1.1268,1.1381,1.1495,1.161,1.1726,1.1843,1.1961,1.2081,1.2202,1.2324,1.2447,1.2572,1.2697,1.2824,1.2953,1.3082,1.3213,1.3345,1.3478
2,1.02,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.219,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.546,1.5769,1.6084,1.6406,1.6734,1.7069,1.741,1.7758,1.8114
3,1.03,1.0609,1.0927,1.1255,1.1593,1.1941,1.2299,1.2668,1.3048,1.3439,1.3842,1.4258,1.4685,1.5126,1.558,1.6047,1.6528,1.7024,1.7535,1.8061,1.8603,1.9161,1.9736,2.0328,2.0938,2.1566,2.2213,2.2879,2.3566,2.4273
4,1.04,1.0816,1.1249,1.1699,1.2167,1.2653,1.3159,1.3686,1.4233,1.4802,1.5395,1.601,1.6651,1.7317,1.8009,1.873,1.9479,2.0258,2.1068,2.1911,2.2788,2.3699,2.4647,2.5633,2.6658,2.7725,2.8834,2.9987,3.1187,3.2434
5,1.05,1.1025,1.1576,1.2155,1.2763,1.3401,1.4071,1.4775,1.5513,1.6289,1.7103,1.7959,1.8856,1.9799,2.0789,2.1829,2.292,2.4066,2.527,2.6533,2.786,2.9253,3.0715,3.2251,3.3864,3.5557,3.7335,3.9201,4.1161,4.3219
6,1.06,1.1236,1.191,1.2625,1.3382,1.4185,1.5036,1.5938,1.6895,1.7908,1.8983,2.0122,2.1329,2.2609,2.3966,2.5404,2.6928,2.8543,3.0256,3.2071,3.3996,3.6035,3.8197,4.0489,4.2919,4.5494,4.8223,5.1117,5.4184,5.7435
7,1.07,1.1449,1.225,1.3108,1.4026,1.5007,1.6058,1.7182,1.8385,1.9672,2.1049,2.2522,2.4098,2.5785,2.759,2.9522,3.1588,3.3799,3.6165,3.8697,4.1406,4.4304,4.7405,5.0724,5.4274,5.8074,6.2139,6.6488,7.1143,7.6123
8,1.08,1.1664,1.2597,1.3605,1.4693,1.5869,1.7138,1.8509,1.999,2.1589,2.3316,2.5182,2.7196,2.9372,3.1722,3.4259,3.7,3.996,4.3157,4.661,5.0338,5.4365,5.8715,6.3412,6.8485,7.3964,7.9881,8.6271,9.3173,10.0627
9,1.09,1.1881,1.295,1.4116,1.5386,1.6771,1.828,1.9926,2.1719,2.3674,2.5804,2.8127,3.0658,3.3417,3.6425,3.9703,4.3276,4.7171,5.1417,5.6044,6.1088,6.6586,7.2579,7.9111,8.6231,9.3992,10.2451,11.1671,12.1722,13.2677
10,1.1,1.21,1.331,1.4641,1.6105,1.7716,1.9487,2.1436,2.3579,2.5937,2.8531,3.1384,3.4523,3.7975,4.1772,4.595,5.0545,5.5599,6.1159,6.7275,7.4002,8.1403,8.9543,9.8497,10.8347,11.9182,13.11,14.421,15.8631,17.4494
